word,zipf
aahed,0.0
aalii,0.04
aapas,0.0
aargh,0.0
aarti,0.0
abaca,2.43
abaci,0.0
aback,3.11
abacs,0.0
abaft,2.47
abaht,1.2
abaka,0.0
abamp,0.0
aband,1.63
abase,2.14
abash,1.7
abask,0.0
abate,3.37
abaya,1.7
abbas,3.15
abbed,0.36
abbes,0.0
abbey,4.01
abbot,3.83
abcee,0.0
abeam,2.18
abear,1.18
abeat,0.69
abeer,0.0
abele,2.08
abeng,0.0
abers,0.0
abets,0.0
abeys,0.0
abhor,2.91
abide,3.79
abies,2.87
abius,0.0
abjad,0.0
abjud,0.0
abled,2.09
abler,0.0
ables,0.0
ablet,0.89
ablow,1.23
abmho,0.0
abnet,0.62
abode,3.74
abohm,0.1
aboil,0.92
aboma,0.58
aboon,1.65
abord,2.01
abore,1.77
aborn,0.0
abort,2.98
about,6.15
above,5.6
abram,3.3
abray,0.54
abrim,0.78
abrin,0.0
abris,0.0
absey,0.58
absit,1.54
abuna,1.67
abune,1.37
abura,1.16
aburn,0.42
abuse,4.63
abuts,0.0
abuzz,1.91
abyes,0.0
abysm,1.53
abyss,3.43
acais,0.0
acara,0.0
acari,0.0
accas,0.0
accha,0.0
accoy,0.0
accra,3.14
acedy,0.0
acene,0.0
acerb,1.05
acers,0.0
aceta,0.0
achar,0.0
ached,0.0
acher,1.71
aches,0.0
achey,0.0
achoo,0.0
acids,0.0
acidy,0.93
acies,0.0
acing,0.0
acini,0.0
ackee,1.36
acker,2.78
acmes,0.0
acmic,0.0
acned,0.67
acnes,0.0
acock,1.63
acoel,0.0
acold,0.87
acone,0.76
acorn,3.08
acral,1.76
acred,1.52
acres,4.81
acrid,3.0
acron,1.47
acros,0.0
acryl,0.0
actas,0.0
acted,4.49
actin,3.35
acton,3.23
actor,4.18
actus,0.0
acute,4.63
acyls,0.0
adage,3.03
adapt,3.98
adats,0.0
adawn,0.0
adaws,0.0
adays,1.69
adbot,0.0
addas,0.0
addax,1.39
added,5.22
adder,2.98
addin,1.75
addio,1.79
addle,1.97
addra,0.0
adead,0.64
adeem,0.94
adept,3.32
adhan,0.0
adhoc,0.0
adieu,3.25
adios,2.13
adits,0.0
adlib,1.25
adman,1.77
admen,0.0
admin,3.65
admit,4.55
admix,1.48
adnex,0.0
adobe,3.39
adobo,1.66
adoon,0.0
adopt,4.5
adorb,0.0
adore,3.29
adorn,3.3
adown,2.31
adoze,0.0
adrad,0.69
adraw,0.0
adred,0.0
adret,0.0
adrip,0.54
adsum,1.24
aduki,0.0
adult,4.78
adunc,0.0
adust,1.43
advew,0.0
advts,0.0
adyta,0.0
adyts,0.0
adzed,0.0
adzes,0.0
aecia,0.0
aedes,2.84
aeger,0.0
aegis,3.12
aeons,0.0
aerie,2.18
aeros,0.0
aesir,1.62
aevum,0.0
afald,0.19
afanc,0.59
afara,0.79
afars,0.0
afear,0.48
affix,3.13
affly,1.17
afion,0.0
afire,2.65
afizz,0.0
aflaj,0.0
aflap,0.0
aflow,0.85
afoam,0.52
afoot,3.0
afore,3.2
afoul,2.6
afret,0.13
afrit,1.33
afros,0.0
after,6.04
aftos,0.0
again,5.59
agals,0.0
agama,2.13
agami,1.23
agamy,0.62
agape,2.82
agars,0.0
agasp,0.56
agast,1.23
agate,3.09
agaty,0.0
agave,2.69
agaze,0.64
agbas,0.0
agene,1.26
agent,5.01
agers,0.0
aggag,0.0
agger,2.09
aggie,0.0
aggri,0.14
aggro,1.47
aggry,0.43
aghas,0.0
agidi,0.0
agila,0.95
agile,3.21
aging,4.23
agios,0.0
agism,0.76
agist,0.99
agita,0.0
aglee,0.0
aglet,1.12
agley,1.26
agloo,0.0
aglow,2.63
aglus,0.0
agmas,0.0
agoge,0.0
agogo,0.0
agone,2.08
agons,0.0
agony,3.8
agood,1.96
agora,2.78
agree,4.87
agria,1.36
agrin,1.55
agros,0.0
agrum,1.3
agued,0.75
agues,0.0
aguey,0.0
aguna,0.0
agush,0.0
aguti,0.0
ahead,4.67
aheap,0.83
ahent,0.0
ahigh,1.42
ahind,0.57
ahing,0.0
ahint,1.31
ahold,2.28
ahole,0.0
ahull,1.14
ahuru,0.0
aidas,0.0
aided,4.11
aider,2.36
aides,3.51
aidoi,0.0
aidos,0.0
aiery,0.76
aigas,0.0
aight,1.65
ailed,0.0
aimag,0.0
aimak,1.21
aimed,4.34
aimer,2.15
ainee,0.0
ainga,0.0
aioli,1.72
aired,3.18
airer,0.97
airns,0.0
airth,0.0
airts,0.0
aisle,3.66
aitch,1.57
aitus,0.0
aiver,0.94
aixes,0.0
aiyah,0.0
aiyee,0.0
aiyoh,0.0
aiyoo,0.0
aizle,0.0
ajies,0.0
ajiva,0.0
ajuga,1.55
ajupa,0.0
ajwan,0.0
akara,0.0
akees,0.0
akela,1.58
akene,1.25
aking,0.0
akita,2.35
akkas,0.0
akker,1.57
akoia,0.0
akoja,0.0
akoya,0.0
aksed,0.0
akses,0.0
alaap,0.0
alack,2.39
alala,1.28
alamo,2.99
aland,2.46
alane,0.0
alang,0.0
alans,0.0
alant,1.04
alapa,0.0
alaps,0.0
alarm,4.24
alary,1.9
alata,2.24
alate,2.16
alays,0.0
albas,0.0
albee,2.67
albid,0.57
